depositor_address,bpt_in_wallet,bpt_in_bal_gauge,bpt_in_aura,total_pool_tokens
0xAb7DD9CCfDf69D954B7E2697fae52FdfA01065F6,234.7,0.0,0.0,234.7
0x2dD568028682FF2961cC341a4849F1b32f371064,141.86171078467123,0.0,0.0,141.86171078467123
0x3ca33F22893a51A80Ed4ed8afebc900Ae813cA02,42.27264492534555,0.0,0.0,0
0xD85927dCd8793D3c8937b75D2d978Af4541e0743,3.234179004931665,0.0,0.0,3.234179004931665
0x8D0849F568ba32b2C6C66DE8C3EF2bA482287fF0,0.852001176377157,0.0,0.0,0.852001176377157
0xe1880B5348FC0BaD7a4d81cFdd0140cFf530B174,0.17728505023401495,0.0,0.0,0.17728505023401495
0x37Ff9172beCAf3B78284822eD55a03FAB0Bc9E27,0.000836798880665609,0.0,0.0,0.000836798880665609
0xce88686553686DA562CE7Cea497CE749DA109f9F,6.567412152339e-06,0.0,0.0,6.567412152339e-06
0x0000000000000000000000000000000000000000,1e-12,0.0,0.0,1e-12
0x4F942119E6Ab0a6e4368e795d1d64291a3Ff0dA4,9.51941e-13,0.0,0.0,9.51941e-13
0xe715522f8e705B8CB8858c33F4F468aD8fdc9faE,7.574e-15,0.0,0.0,7.574e-15
0x931d9fd3be017B6652838A219746D80D38BCE983,6.38e-15,0.0,0.0,6.38e-15
0x9F2cE98a3BC80463D39d556F05a14c6f7Dc22129,1.424e-15,0.0,0.0,1.424e-15
0xad496aC1B05C50549a11F6A5F26091AE4736CE0D,6.88e-16,0.0,0.0,6.88e-16
0xA38AC89a9eceB2e00B5b05568f36815F6D9286dC,5.76e-16,0.0,0.0,5.76e-16
0x880B499325973065a3f8baA1E77a5C03eA367802,4.28e-16,0.0,0.0,4.28e-16
0x3A98d7B23d0A78eA810487E1AD904b2A8E60a0A0,4.13e-16,0.0,0.0,4.13e-16
0x62B9B19365B7f49fFd9020F8749C1712712c200f,1.18e-16,0.0,0.0,1.18e-16
0x5E2dA86Ec521b83aadED600C99B80520C69b1101,7.6e-17,0.0,0.0,7.6e-17
0x1B2D875C2c2a7852e41ABc4FF31531D9415De5F9,3.2e-17,0.0,0.0,3.2e-17
0xaaB908381C4077C3B892ee35d89f81c91B5879EC,2.1e-17,0.0,0.0,2.1e-17
0x4521722437185a57725E72E07240198a6A693Ceb,2.1e-17,0.0,0.0,2.1e-17
0x4c5AB985EF386026E940F7DAF40F4EAf90415727,1.2e-17,0.0,0.0,1.2e-17
0x0D9E7F65b223dAA6FaC323dCF5ee68D4Bf1717f5,1e-17,0.0,0.0,1e-17
0xf081470f5C6FBCCF48cC4e5B82Dd926409DcdD67,1e-18,0.0,0.0,1e-18
0x84F9BD8981b255657C369852B69613b74c0986Cc,1e-18,0.0,0.0,1e-18
0xaF52695E1bB01A16D33D7194C28C42b10e0Dbec2,0.0,42.25975517250945,0.0,0
0xbD32811d7906154b28041efaE0B16537967e36cb,0.0,0.01172588681529601,0.0,0.01172588681529601
0x03C2bFd2509dE9b13d0124015077e100a292336D,0.0,0.001163866020805438,0.0,0.001163866020805438
0xe32e3BD2EC560513CaB4757564cA50D13cAF9F7F,0.0,0.0,28.505595329962297,28.505595329962297
0x3df71a587a968A4d070f905eb2805E9d36c273e5,0.0,0.0,12.754159842547155,12.754159842547155
0xe0EB63B4E18FF1e646ab7E37510E6EaF287AdE3D,0.0,0.0,1.0,1.0
